singers,song,playtime,subtitle,date
没挂机队,懒狗代,622.4万,3.9万,2020/9/12
姜云升,芸芸众生,242.9万,1.1万,2020/11/1
剁椒沙丁鱼战队,世界以痛吻我,273.3万,5764,2020/11/1
圣代,书院来信,546.7万,1.4万,2020/10/24
于贞,粒子们,575.9万,2.0万,2020/10/10
Rich Brian,Love in my pocket,340.7万,6531,2020/9/26
subs+姜云升,向前,187.8万,8471,2020/10/31
姜云升,反抗,421.2万,1.0万,2020/9/19
汽油队,We&nbsp;We,502.3万,1.8万,2020/9/12
陈近南,最后的晚安,269.6万,2586,2020/10/24
鱼翅Fin+直火帮Feezy ,山顶洞人与夜航船,178.4万,7433,2020/10/31
于贞,飞奔向你,259.8万,3.6万,2020/11/1
沙一汀,早点早点,264.0万,6811,2020/9/19
沙一汀,听到了吗,101.0万,2597,2020/10/24
Subs,画,418.9万,1.7万,2020/8/23
陈近南+沙一汀,What do you want,150.0万,5601,2020/10/31
沙一汀,What is rap,126.4万,4289,2020/11/1
陈近南,来自世界的恶意,286.1万,1.3万,2020/8/29
生番,那一首歌,261.4万,1.8万,2020/9/26
Doggie叨叨,未接来电,146.7万,4487,2020/10/3
AK 刘彰,写给说唱新世代参赛选手的一封挑战书,124.7万,3029,2020/10/10
地天战队,给说唱新世代参赛选手的一封建议信,148.1万,3810,2020/11/1
陈近南,来自世界的恶意,286.1万,1.3万,2020/8/29
Subs,画,418.9万,1.7万,2020/8/23
Subs,我不想死在20岁,292.7万,5718,2020/9/26
沙一汀,听到了吗,101.0万,2597,2020/10/24
Doggie,Real Life,243.4万,4961,2020/8/29
于贞,放肆爱,277.9万,4357,2020/9/26
马思唯&amp;amp;KnowKnow,成功的布鲁斯一夜,139.4万,3397,2020/10/24
张愚歌,风,148.5万,1.1万,2020/10/3
沙一汀,What is rap,126.4万,4289,2020/11/1
所有选手,生命诗,107.3万,1.3万,2020/11/1
石玺彤,就算你活在二次元,266.0万,9372,2020/8/29
TangoZ,Love Paradise,343.7万,9789,2020/8/23
Subs,奶奶,72.0万,1521,2020/11/1
圣代,凯瑟琳,136.6万,2712,2020/10/3
Ty.,凹造型,264.3万,4604,2020/9/19
生番,那一首歌,261.4万,1.8万,2020/9/26
导师、选手暖场秀,New Generation,138.4万,3533,2020/11/1
阿达娃,Mirror,192.2万,2066,2020/9/26
那奇沃夫,那奇沃夫,196.2万,2008,2020/10/24
三个队长战队,美杜莎庄园,168.7万,5698,2020/11/1
Feezy,亚洲小子,72.5万,869,2020/10/24
圣代,雨夜惊魂,228.3万,4589,2020/8/23
RoseDoggy,叫爸爸,254.0万,7143,2020/8/29
圣代,返老还童,122.3万,4451,2020/11/1
周密,把闹钟关了,179.1万,4963,2020/9/19
孙瑄阳,等你长大,78.4万,1304,2020/10/24
午夜蠕动子队,人间普通指南,248.1万,7335,2020/9/12
于贞,她和她和她,583.0万,1.1万,2020/8/23
GM仙,掌斗剑,228.8万,4286,2020/10/10
鱼翅Fin,我是我最后的目击者,141.7万,2476,2020/10/24
Landuo懒惰,Mom pray for me,206.8万,5227,2020/10/3
